epoch,total_loss,recon_loss,kl_loss
511,1310.36,268.13,10422.3
512,1341.29,306.55,10347.37
513,1348.13,298.4,10497.32
514,1359.85,297.0,10628.56
515,1302.82,255.6,10472.14
516,1270.67,219.88,10507.93
517,1279.67,245.25,10344.25
518,1352.67,296.15,10565.25
519,1274.19,237.06,10371.31
520,1324.06,287.61,10364.45
521,1320.23,277.84,10423.91
522,1300.03,249.49,10505.4
523,1391.97,327.61,10643.59
524,1316.85,250.32,10665.32
525,1321.86,258.32,10635.35
526,1347.18,278.92,10682.56
527,1310.11,241.68,10684.26
528,1277.79,238.38,10394.16
529,1306.53,261.42,10451.12
530,1287.0,257.22,10297.85
531,1301.0,254.78,10462.24
532,1252.62,201.38,10512.4
533,1261.71,231.43,10302.82
534,1355.5,304.45,10510.5
535,1288.07,238.84,10492.27
536,1325.5,267.71,10577.96
537,1345.85,275.53,10703.23
538,1338.81,264.97,10738.4
539,1339.53,286.09,10534.47
540,1310.38,254.15,10562.31
541,1313.09,258.64,10544.42
542,1316.94,272.41,10445.33
543,1322.37,280.98,10413.92
544,1376.6,318.79,10578.15
545,1299.76,232.75,10670.06
546,1272.43,223.35,10490.78
547,1281.79,249.46,10323.34
548,1271.2,247.22,10239.76
549,1298.55,271.62,10269.32
550,1316.86,278.88,10379.76
551,1285.3,246.79,10385.07
552,1323.38,287.53,10358.58
553,1374.76,309.02,10657.39
554,1298.08,218.13,10799.5
555,1284.76,235.95,10488.14
556,1288.79,248.7,10400.9
557,1319.34,279.09,10402.49
558,1293.04,248.31,10447.27
559,1315.97,266.62,10493.56
560,1327.49,284.65,10428.41
561,1309.84,278.34,10314.96
562,1300.28,266.39,10338.92
563,1263.38,232.03,10313.5
564,1306.09,286.65,10194.39
565,1345.37,311.74,10336.33
566,1298.14,254.29,10438.5
567,1312.15,268.11,10440.43
568,1364.02,324.77,10392.44
569,1279.84,237.86,10419.8
570,1290.41,252.85,10375.64
571,1363.72,294.28,10694.34
572,1323.19,264.07,10591.19
573,1261.44,212.34,10491.0
574,1202.76,185.93,10168.34
575,1260.86,238.63,10222.26
576,1341.21,302.12,10390.86
577,1332.22,279.54,10526.79
578,1302.5,263.54,10389.62
579,1356.62,293.84,10627.74
580,1257.27,216.09,10411.82
581,1275.73,250.68,10250.44
582,1322.27,270.14,10521.37
583,1277.63,220.11,10575.25
584,1281.79,234.52,10472.65
585,1290.21,243.32,10468.92
586,1284.5,240.02,10444.84
587,1345.67,280.72,10649.53
588,1330.96,266.2,10647.62
589,1268.12,222.93,10451.86
590,1289.49,238.15,10513.4
591,1303.18,254.89,10482.85
592,1260.59,212.01,10485.79
593,1323.43,274.81,10486.2
594,1291.49,233.93,10575.55
595,1265.31,222.44,10428.69
596,1253.98,221.28,10327.02
597,1276.82,253.15,10236.63
598,1352.45,304.26,10481.89
599,1266.9,217.05,10498.42
600,1310.34,268.54,10418.0
