epoch,total_loss,recon_loss,kl_loss,music_loss
177,80.67,41.19,322.13,7.26
178,96.13,56.93,318.84,7.31
179,76.84,38.03,314.84,7.33
180,80.21,41.79,309.16,7.51
181,80.88,42.8,310.61,7.01
182,101.9,63.02,315.64,7.31
183,77.5,39.09,314.15,7.0
184,94.98,56.86,311.89,6.93
185,79.92,41.81,309.69,7.14
186,84.2,46.23,307.26,7.24
187,80.93,42.86,303.78,7.69
188,77.07,39.52,301.87,7.37
189,93.68,56.75,300.66,6.87
190,94.6,57.59,297.32,7.28
191,82.83,46.02,295.05,7.3
192,82.41,45.76,296.6,6.98
193,83.77,46.7,297.0,7.36
194,78.7,41.4,300.33,7.26
195,96.1,58.18,306.81,7.24
196,88.03,49.14,314.88,7.41
197,79.68,40.48,316.6,7.54
198,81.86,42.46,317.0,7.7
199,84.89,45.77,319.34,7.19
200,93.92,54.79,319.96,7.13
201,89.76,51.05,316.71,7.04
202,93.06,54.76,312.14,7.08
203,107.35,69.5,308.39,7.01
204,82.74,45.14,305.18,7.08
205,78.1,39.95,308.72,7.28
206,77.83,39.94,309.29,6.96
207,83.25,45.36,307.83,7.11
208,98.32,60.26,310.26,7.03
209,90.72,52.43,310.54,7.23
210,88.5,50.43,308.51,7.22
211,103.36,65.06,307.42,7.56
212,100.18,61.56,310.68,7.55
213,119.06,80.0,318.02,7.25
214,83.43,43.97,322.12,7.24
215,84.87,45.64,318.8,7.35
216,83.56,45.06,314.4,7.06
217,136.54,98.15,313.62,7.03
218,101.77,63.28,313.83,7.11
219,91.74,53.14,318.64,6.73
220,89.01,49.91,320.32,7.07
221,103.28,64.3,318.91,7.08
222,89.75,51.14,315.15,7.09
223,79.07,41.08,310.14,6.98
224,123.4,84.79,311.52,7.46
225,81.39,42.88,315.9,6.92
226,259.73,220.66,317.37,7.34
227,158.14,119.13,316.55,7.36
228,83.86,44.12,319.99,7.74
229,106.57,67.05,321.94,7.32
230,85.55,45.82,323.69,7.36
231,84.71,43.52,337.54,7.44
232,89.94,48.75,340.8,7.12
233,80.96,39.42,344.69,7.08
234,79.46,38.23,338.95,7.33
235,99.32,59.25,331.26,6.95
236,78.64,38.95,324.31,7.26
237,78.94,39.91,318.58,7.18
238,78.16,39.44,315.93,7.13
239,99.57,61.09,314.29,7.05
240,79.95,41.82,310.56,7.07
241,89.13,50.96,310.27,7.15
242,93.18,54.83,311.44,7.21
243,83.75,45.52,312.71,6.97
244,97.26,59.05,312.45,6.97
245,79.07,41.03,309.19,7.12
246,95.97,57.91,307.44,7.32
247,92.95,54.96,309.65,7.03
248,86.38,47.99,309.57,7.43
249,90.19,51.93,308.71,7.39
250,74.7,36.87,307.85,7.05
251,88.45,50.52,305.16,7.41
252,87.03,49.02,303.61,7.64
253,118.29,80.86,301.15,7.32
254,77.59,40.25,301.39,7.21
255,79.57,41.93,303.25,7.31
256,74.91,37.53,304.49,6.94
257,95.91,58.46,301.07,7.34
258,85.08,48.03,299.24,7.13
259,82.31,44.87,302.92,7.14
260,99.35,61.31,305.51,7.49
261,94.47,55.98,309.7,7.52
262,90.98,52.68,311.59,7.14
263,89.28,50.92,309.64,7.39
264,81.54,43.56,305.13,7.47
265,81.29,43.95,299.81,7.36
266,110.77,73.48,301.09,7.18
267,84.19,45.95,310.96,7.14
268,97.75,58.74,318.12,7.19
269,77.38,37.74,323.06,7.33
270,92.03,52.96,321.33,6.94
271,80.98,42.13,316.52,7.2
272,88.63,50.02,314.81,7.12
273,77.88,38.84,317.74,7.26
274,92.11,52.46,320.98,7.55
275,78.93,40.2,318.22,6.91
276,80.09,41.38,314.92,7.22
277,93.06,54.1,316.08,7.35
278,77.5,38.01,319.77,7.52
279,78.33,39.02,318.74,7.43
280,91.48,52.59,316.55,7.24
281,92.84,54.21,315.63,7.07
282,78.89,40.19,312.26,7.47
283,97.67,59.23,308.24,7.62
284,103.18,65.13,305.72,7.47
285,79.12,41.42,304.15,7.29
286,76.33,38.56,302.72,7.5
287,91.33,53.98,299.46,7.41
288,86.47,49.99,293.84,7.09
289,84.13,48.27,289.7,6.89
290,75.33,38.98,291.02,7.25
291,91.99,55.21,293.83,7.4
292,79.23,42.66,294.36,7.14
293,87.97,51.15,296.7,7.14
294,93.01,55.93,299.23,7.16
295,108.99,72.1,298.16,7.08
296,80.36,43.3,300.9,6.97
297,112.77,74.5,307.81,7.49
298,81.16,43.25,308.96,7.02
299,76.53,39.23,305.77,6.72
300,76.67,39.43,301.36,7.1
301,80.73,43.66,296.26,7.44
302,73.97,37.31,293.02,7.36
303,96.74,60.58,289.93,7.17
304,101.84,65.7,291.75,6.96
305,79.91,42.86,299.2,7.13
306,76.47,38.48,307.43,7.25
307,93.59,55.16,309.05,7.53
308,81.39,43.18,308.64,7.34
309,84.39,46.53,305.55,7.31
310,108.84,70.85,303.93,7.59
311,181.16,143.64,301.83,7.34
312,102.43,64.55,300.61,7.82
313,81.02,43.93,297.0,7.39
314,78.77,41.88,294.79,7.41
315,84.92,47.57,296.45,7.7
316,118.13,81.4,297.96,6.93
317,86.77,49.73,300.67,6.98
318,81.18,43.83,302.07,7.14
319,132.18,94.97,300.31,7.18
320,108.5,70.83,302.52,7.42
321,96.43,58.66,307.68,7.0
322,81.99,43.77,313.48,6.87
323,77.4,38.81,315.39,7.05
324,105.45,67.15,312.81,7.02
325,83.25,44.62,314.19,7.21
326,97.32,58.92,313.87,7.01
327,94.79,55.91,313.37,7.54
328,87.05,48.52,311.06,7.42
329,83.02,44.72,310.52,7.25
330,74.84,36.67,310.71,7.1
331,76.26,38.34,307.31,7.19
332,81.77,43.96,302.93,7.52
333,83.08,46.19,300.0,6.89
334,74.59,37.94,296.6,6.99
335,87.73,50.91,293.8,7.44
336,118.91,82.32,291.83,7.41
337,88.07,51.38,292.76,7.41
338,80.57,43.87,293.14,7.38
339,84.98,48.15,296.25,7.2
340,85.35,48.04,301.19,7.19
341,78.15,40.81,303.05,7.04
342,87.62,49.94,305.11,7.16
343,78.15,40.53,306.17,7.01
344,124.49,86.51,304.44,7.54
345,87.15,49.7,301.03,7.34
346,77.31,40.13,298.76,7.3
347,92.08,54.6,298.34,7.65
348,91.75,54.83,295.14,7.4
349,77.07,40.87,290.5,7.14
350,78.04,42.34,285.37,7.16
351,86.36,50.7,284.1,7.25
352,74.95,39.51,287.28,6.72
353,88.7,52.3,288.19,7.58
354,78.83,42.4,291.57,7.28
355,85.58,48.94,292.92,7.34
356,77.04,40.22,295.52,7.26
357,81.3,43.92,296.63,7.71
358,75.65,38.92,292.92,7.44
359,105.37,69.44,288.34,7.1
360,78.88,42.89,287.83,7.2
361,80.18,44.0,292.34,6.95
362,84.34,47.28,296.66,7.4
